TIME,x,y,CRS
86.25,109.945108055,-18.5869509891,-162.054995383
86.5,112.189962344,-16.9508951821,-158.64159264
86.75,114.531966306,-15.4572195739,-164.007192659
87.0,116.717347859,-13.7425310171,-159.914490386
87.25,119.024158692,-12.1950578633,-165.438881638
87.5,121.164170364,-10.4240696021,-160.818348643
87.75,123.445240005,-8.83889747608,-166.142445426
88.0,125.5624226,-7.04067968293,-161.679179284
88.25,127.818403597,-5.42000108502,-166.920757439
88.5,129.909928248,-3.59200381814,-162.010152185
88.75,132.156115717,-1.95777885412,-167.0272261
89.0,134.244097826,-0.125736254093,-162.440427111
89.25,136.477431853,1.52601085224,-167.440440763
89.5,138.55159104,3.37368859708,-162.577046307
89.75,140.780815265,5.03097817069,-167.970727222
90.0,142.837063803,6.89856788112,-163.238827403
90.25,145.046185994,8.58255971923,-168.6005897
90.5,147.080912441,10.4735746998,-164.391944009
90.75,149.254245551,12.2035089668,-170.822368852
91.0,151.210943417,14.1751536703,-167.326574705
91.25,153.288923386,16.018533342,-172.509943859
91.5,155.184213409,18.0492783048,-173.069646816
91.75,157.058739944,20.0992050469,-181.058389588
92.0,158.616821561,22.3988639457,-180.949682313
92.25,160.179445398,24.695438813,-189.141594561
92.5,161.383971018,27.1984704491,-191.013828976
92.75,162.502610516,29.7410469038,-202.025961888
93.0,163.093220991,32.4553108244,-204.920892151
93.25,163.540213943,35.1968882301,-217.154498027
93.5,163.371404029,37.9695318386,-223.164738065
93.75,162.901217261,40.7072268139,-233.149118941
94.0,161.944496572,43.3150486819,-237.583581809
94.25,160.780851778,45.8373452867,-246.218275372
94.5,159.237156022,48.1466856227,-246.485538121
94.75,157.682256705,50.4484974066,-255.3035112
95.0,155.77983562,52.4725634587,-258.044023543
95.25,153.778963273,54.3993637152,-263.63078271
95.5,151.593021492,56.1133380171,-263.43381221
95.75,149.413231941,57.8351297846,-268.977629794
96.0,147.071249147,59.3288385821,-266.080810211
96.25,144.811150463,60.9437699467,-271.659483976
96.5,142.399145454,62.3215512089,-268.13349109
96.75,140.080363001,63.8510273659,-273.704929191
97.0,137.618798054,65.1381743605,-269.323748232
97.25,135.267461694,66.6171154334,-274.794110291
97.5,132.780891324,67.8552661409,-270.735817829
97.75,130.392363716,69.2733582555,-276.730142018
